# reward	DS0	DS1	DS2	DS3	_DS4	Rft	Casualty	Cost	Resilce	CarbnEm	Enbbd
315.5570697	36	38	136	129	135	0	227	9771272.087	172859.0883	158295.5555	389644.3481
304.3633764	25	43	131	114	161	0	266	10889517.28	180034.8863	182136.7331	431295.3925
312.1734162	29	54	127	126	138	0	247	9761132.921	172404.4304	164341.947	381850.929
304.1759598	23	41	112	142	156	0	241	11182648.16	191253.2737	165995.9047	431592.2757
319.8893039	37	46	138	114	139	0	222	10081736.35	163542.1867	168717.6813	409106.32
303.0871171	24	49	119	129	153	0	345	10485112.64	178399.8987	189333.0852	429085.5706
310.8112244	25	49	129	125	146	0	262	9880978.325	172515.2279	167266.0745	399742.3001
308.6648154	20	56	134	123	141	0	292	10023091.6	173229.1048	167780.257	392424.2447
308.8109637	36	48	116	129	145	0	320	9896354.618	169483.1755	157913.2946	390751.4327
306.9062903	24	60	120	116	154	0	252	10076211.29	176773.1953	169010.9347	400958.5864
315.1409859	43	64	110	122	135	0	275	9117751.659	169620.3771	158455.932	359951.1665
301.1305047	30	53	117	105	169	0	311	10314239.91	181467.9388	162789.8069	414872.5406
305.6712559	35	52	109	119	159	0	311	10636843.61	179296.5589	182705.4125	419544.3387
314.182872	32	54	137	110	141	0	263	9783104.185	172544.1764	173811.7993	386922.0986
299.8273942	23	60	114	113	164	0	315	11000898.23	182527.5291	183103.8239	441149.492
306.6420672	27	49	115	129	154	0	257	10179570.85	173719.1598	176059.5615	400616.6638
300.323336	32	54	103	119	166	0	327	10875818.24	177576.6923	174166.5255	436903.0495
310.6319763	31	46	122	126	149	0	216	10105020.19	175170.9535	156218.3809	402363.0824
312.8797017	35	44	136	118	141	0	342	10070442.42	167836.9068	153116.9426	395247.3326
310.5759383	29	54	118	125	148	0	256	10061432.24	172630.7384	165319.9546	397975.4013
309.8047057	23	48	137	121	145	0	349	10348573.8	176202.969	166988.2827	414127.1957
300.0986184	20	51	119	123	161	0	280	11128736.57	179922.0331	199171.435	441470.5175
308.9495558	26	55	126	119	148	0	303	10015598.85	174781.3634	163987.0591	397867.2323
313.8709395	16	58	121	148	131	0	191	9967204.83	170921.057	163494.8732	399782.2217
318.7981889	30	53	135	127	129	0	207	9774226.682	161810.2347	165464.7803	396418.3776
308.0326585	28	56	133	108	149	0	354	10229256.61	180925.4012	177886.5466	393726.0816
311.872521	28	50	124	137	135	0	249	9562647.479	170492.7497	159885.8547	384253.4171
308.818151	23	62	112	131	146	0	259	10163855.23	178306.8982	173991.6758	403055.7671
314.8016883	31	61	126	119	137	0	262	9488900.108	174010.238	158151.6164	375375.2562
310.6316669	28	56	121	121	148	0	291	10338508.4	172547.2804	167224.5126	415016.0782
308.772773	26	56	121	122	149	0	298	10518582.36	171618.549	165140.7923	422971.6165
310.4546742	33	47	108	147	139	0	272	10391885.47	170665.5159	171077.2341	413299.5264
306.0405782	31	43	126	120	154	0	344	10621270.5	173957.7484	173829.9456	423875.3303
311.6571509	27	45	129	130	143	0	275	10366826.85	177675.3502	170877.1102	407216.667
296.6778061	30	52	104	120	168	0	348	10594891.7	182594.8811	181946.1057	417272.7467
308.9756043	30	44	128	131	141	0	281	10574204.72	169916.2705	171065.0978	416032.3527
301.9986475	19	42	128	127	158	0	358	10968760.4	176758.3515	191501.2377	442518.0386
303.1623422	28	51	124	113	158	0	310	10613118.89	182423.9067	169672.7173	424148.8616
322.6439882	35	49	142	127	121	0	201	8983702.431	163380.8368	147140.186	363683.6901
302.392756	24	43	125	122	160	0	285	10832649.01	180035.3667	181570.2687	427688.0751
307.0376966	37	57	100	125	155	0	293	10725876.67	175580.8704	170399.2389	422665.8328
313.9672225	22	55	142	122	133	0	186	9547163.253	167150.4819	157556.4222	379139.4183
302.4866719	29	44	110	130	161	0	278	11278214.29	178806.9474	167364.0466	440468.6454
310.6959088	22	50	133	124	145	0	285	10373071.36	175184.9843	164070.5785	415930.4167
310.6702507	26	51	119	133	145	0	221	10235136.47	174382.2917	154959.8654	400421.1815
315.83084	27	53	123	135	136	0	235	9853582.399	165883.4268	161707.8084	388184.4459
301.4906732	22	61	99	143	149	0	312	10241518.12	177235.7372	174774.908	406796.469
308.67695	25	48	140	114	147	0	305	10194370.84	175986.9201	175337.292	405736.7422
305.3370739	26	57	120	115	156	0	288	10023598.38	179325.7335	163613.2556	406764.0631
312.7196715	26	52	131	127	138	0	193	9970405.563	173181.45	167998.4557	402444.5327
313.8363401	33	52	124	128	137	0	210	9611952.52	165049.9775	164831.6048	383098.1287
311.3393785	28	60	133	107	146	0	324	9671951.662	168813.0451	161131.3117	387260.757
316.2427987	33	55	125	128	133	0	339	9732625.016	168314.4178	173537.4743	376471.6943
309.1228564	26	52	126	117	153	0	242	10566738.91	176810.2576	167597.7939	417057.3321
312.3799311	30	44	125	139	136	0	302	9839789.856	169520.912	166023.9337	394798.5665
309.7743629	25	64	120	119	146	0	256	10560072.27	172108.2445	173461.3955	415492.9387
308.3806166	33	36	130	129	146	0	239	10467631.23	173010.4183	161203.294	413731.0638
314.7068025	28	59	120	127	140	0	207	10127938.01	168910.0281	151960.0595	402394.1711
302.6433631	21	51	127	120	155	0	282	10761890.35	180324.5393	193867.751	436472.9391
316.1152456	43	43	133	113	142	0	253	9943417.05	167942.5591	157362.7305	390261.4253
308.1115871	35	50	114	127	148	0	290	10126877.44	170948.4492	179972.9057	405730.1247
308.3530466	34	56	117	116	151	0	266	10543511.07	174679.8908	175279.897	410946.6297
313.0316345	39	37	148	113	137	0	220	9533204.041	176054.4485	151826.339	375410.7942
314.7955714	29	58	128	120	139	0	254	9697383.874	167128.7304	161735.2812	389422.7354
